pre,post,is_parent_edge,pre_spike_time_ms,post_spike_time_ms,delta_t_ms,stdp_weight
0,1,False,7.0,6.0,-1.0,0.0
0,199,False,7.0,11.0,4.0,0.0
0,3,False,7.0,6.0,-1.0,0.0
0,4,False,7.0,5.0,-2.0,0.0
0,6,False,7.0,6.0,-1.0,0.0
0,7,False,7.0,6.0,-1.0,0.0
0,10,False,7.0,6.0,-1.0,0.0
0,11,True,7.0,8.0,1.0,1.0
0,13,False,7.0,4.0,-3.0,0.0
0,15,False,7.0,6.0,-1.0,0.0
0,16,False,7.0,7.0,0.0,0.0
0,18,False,7.0,6.0,-1.0,0.0
0,19,False,7.0,7.0,0.0,0.0
0,20,False,7.0,6.0,-1.0,0.0
0,25,False,7.0,7.0,0.0,0.0
0,27,False,7.0,6.0,-1.0,0.0
0,29,False,7.0,7.0,0.0,0.0
0,30,False,7.0,7.0,0.0,0.0
0,32,False,7.0,7.0,0.0,0.0
0,33,False,7.0,6.0,-1.0,0.0
0,36,False,7.0,6.0,-1.0,0.0
0,38,False,7.0,7.0,0.0,0.0
0,39,False,7.0,7.0,0.0,0.0
0,46,False,7.0,6.0,-1.0,0.0
0,47,False,7.0,8.0,1.0,0.0
0,50,False,7.0,2.0,-5.0,0.0
0,63,False,7.0,2.0,-5.0,0.0
0,69,False,7.0,2.0,-5.0,0.0
0,176,False,7.0,9.0,2.0,0.0
0,180,False,7.0,10.0,3.0,0.0
1,0,False,6.0,7.0,1.0,0.0
1,2,False,6.0,5.0,-1.0,0.0
1,3,False,6.0,6.0,0.0,0.0
1,12,False,6.0,6.0,0.0,0.0
1,14,False,6.0,8.0,2.0,0.0
1,18,False,6.0,6.0,0.0,0.0
1,19,False,6.0,7.0,1.0,0.0
1,26,False,6.0,7.0,1.0,0.0
1,27,False,6.0,6.0,0.0,0.0
1,32,False,6.0,7.0,1.0,0.0
1,33,False,6.0,6.0,0.0,0.0
1,34,True,6.0,7.0,1.0,1.0
1,35,False,6.0,6.0,0.0,0.0
1,39,False,6.0,7.0,1.0,0.0
1,40,False,6.0,8.0,2.0,0.0
1,43,False,6.0,7.0,1.0,0.0
1,44,False,6.0,7.0,1.0,0.0
1,46,False,6.0,6.0,0.0,0.0
1,61,False,6.0,3.0,-3.0,0.0
1,65,False,6.0,3.0,-3.0,0.0
1,169,False,6.0,10.0,4.0,0.0
1,185,False,6.0,11.0,5.0,0.0
1,188,True,6.0,11.0,5.0,1.0
2,1,True,5.0,6.0,1.0,1.0
2,3,False,5.0,6.0,1.0,0.0
2,4,False,5.0,5.0,0.0,0.0
2,5,True,5.0,7.0,2.0,1.0
2,6,False,5.0,6.0,1.0,0.0
2,7,True,5.0,6.0,1.0,1.0
2,8,True,5.0,8.0,3.0,1.0
2,11,False,5.0,8.0,3.0,0.0
2,13,False,5.0,4.0,-1.0,0.0
2,14,False,5.0,8.0,3.0,0.0
2,17,False,5.0,6.0,1.0,0.0
2,18,False,5.0,6.0,1.0,0.0
2,19,True,5.0,7.0,2.0,1.0
2,20,False,5.0,6.0,1.0,0.0
2,23,True,5.0,7.0,2.0,1.0
2,24,False,5.0,6.0,1.0,0.0
2,25,True,5.0,7.0,2.0,1.0
2,27,False,5.0,6.0,1.0,0.0
2,29,True,5.0,7.0,2.0,1.0
2,31,False,5.0,7.0,2.0,0.0
2,35,False,5.0,6.0,1.0,0.0
2,37,True,5.0,6.0,1.0,1.0
2,39,False,5.0,7.0,2.0,0.0
2,43,False,5.0,7.0,2.0,0.0
2,44,False,5.0,7.0,2.0,0.0
2,46,True,5.0,6.0,1.0,1.0
2,47,True,5.0,8.0,3.0,1.0
2,48,False,5.0,6.0,1.0,0.0
2,49,False,5.0,6.0,1.0,0.0
2,63,False,5.0,2.0,-3.0,0.0
2,84,False,5.0,1.0,-4.0,0.0
2,89,False,5.0,4.0,-1.0,0.0
2,97,False,5.0,2.0,-3.0,0.0
2,165,True,5.0,10.0,5.0,1.0
2,167,False,5.0,10.0,5.0,0.0
2,173,True,5.0,11.0,6.0,1.0
2,181,True,5.0,10.0,5.0,1.0
2,182,False,5.0,11.0,6.0,0.0
3,2,False,6.0,5.0,-1.0,0.0
3,4,False,6.0,5.0,-1.0,0.0
3,0,False,6.0,7.0,1.0,0.0
3,1,False,6.0,6.0,0.0,0.0
3,5,False,6.0,7.0,1.0,0.0
3,6,False,6.0,6.0,0.0,0.0
3,7,False,6.0,6.0,0.0,0.0
3,10,False,6.0,6.0,0.0,0.0
3,11,False,6.0,8.0,2.0,0.0
3,13,False,6.0,4.0,-2.0,0.0
3,14,False,6.0,8.0,2.0,0.0
3,15,False,6.0,6.0,0.0,0.0
3,17,False,6.0,6.0,0.0,0.0
3,18,False,6.0,6.0,0.0,0.0
3,19,False,6.0,7.0,1.0,0.0
3,21,True,6.0,7.0,1.0,1.0
3,22,False,6.0,6.0,0.0,0.0
3,23,False,6.0,7.0,1.0,0.0
3,27,False,6.0,6.0,0.0,0.0
3,31,False,6.0,7.0,1.0,0.0
3,32,False,6.0,7.0,1.0,0.0
3,34,False,6.0,7.0,1.0,0.0
3,35,False,6.0,6.0,0.0,0.0
3,38,False,6.0,7.0,1.0,0.0
3,42,False,6.0,6.0,0.0,0.0
3,43,False,6.0,7.0,1.0,0.0
3,46,False,6.0,6.0,0.0,0.0
3,47,False,6.0,8.0,2.0,0.0
3,80,False,6.0,2.0,-4.0,0.0
3,85,False,6.0,1.0,-5.0,0.0
3,93,False,6.0,3.0,-3.0,0.0
3,168,False,6.0,10.0,4.0,0.0
3,169,False,6.0,10.0,4.0,0.0
3,176,False,6.0,9.0,3.0,0.0
3,180,True,6.0,10.0,4.0,1.0
4,3,False,5.0,6.0,1.0,0.0
4,5,False,5.0,7.0,2.0,0.0
4,0,False,5.0,7.0,2.0,0.0
4,2,False,5.0,5.0,0.0,0.0
4,6,False,5.0,6.0,1.0,0.0
4,11,False,5.0,8.0,3.0,0.0
4,13,False,5.0,4.0,-1.0,0.0
4,15,True,5.0,6.0,1.0,1.0
4,17,False,5.0,6.0,1.0,0.0
4,18,False,5.0,6.0,1.0,0.0
4,21,False,5.0,7.0,2.0,0.0
4,22,False,5.0,6.0,1.0,0.0
4,23,False,5.0,7.0,2.0,0.0
4,24,False,5.0,6.0,1.0,0.0
4,28,False,5.0,6.0,1.0,0.0
4,30,True,5.0,7.0,2.0,1.0
4,31,True,5.0,7.0,2.0,1.0
4,33,False,5.0,6.0,1.0,0.0
4,35,False,5.0,6.0,1.0,0.0
4,36,False,5.0,6.0,1.0,0.0
4,37,False,5.0,6.0,1.0,0.0
4,42,False,5.0,6.0,1.0,0.0
4,44,False,5.0,7.0,2.0,0.0
4,47,False,5.0,8.0,3.0,0.0
4,48,False,5.0,6.0,1.0,0.0
4,79,False,5.0,2.0,-3.0,0.0
4,82,False,5.0,2.0,-3.0,0.0
4,86,False,5.0,2.0,-3.0,0.0
4,88,False,5.0,2.0,-3.0,0.0
4,165,False,5.0,10.0,5.0,0.0
4,186,True,5.0,10.0,5.0,1.0
