pair_id,start,target,success,snn_path,dijkstra_path,snn_cost,dijkstra_cost,optimality_ratio,same_cost,num_spikes,target_arrival_time_ms,error
0,98,194,True,"[98, 13, 4, 15, 194]","[98, 13, 4, 15, 194]",10.0,10.0,1.0,True,200,10.0,
1,107,10,True,"[107, 98, 13, 10]","[107, 53, 65, 10]",9.0,9.0,1.0,True,200,9.0,
2,66,130,True,"[66, 127, 130]","[66, 127, 130]",7.0,7.0,1.0,True,200,7.0,
3,124,103,True,"[124, 108, 103]","[124, 108, 103]",3.0,3.0,1.0,True,200,3.0,
4,77,122,True,"[77, 81, 122]","[77, 81, 122]",7.0,7.0,1.0,True,200,7.0,
5,91,149,True,"[91, 90, 50, 149]","[91, 90, 50, 149]",6.0,6.0,1.0,True,200,6.0,
6,55,129,True,"[55, 72, 135, 129]","[55, 72, 135, 129]",8.0,8.0,1.0,True,200,8.0,
7,35,72,True,"[35, 34, 17, 72]","[35, 34, 17, 72]",8.0,8.0,1.0,True,200,8.0,
8,35,193,True,"[35, 33, 193]","[35, 33, 193]",8.0,8.0,1.0,True,200,8.0,
9,24,158,True,"[24, 160, 158]","[24, 160, 158]",8.0,8.0,1.0,True,200,8.0,
10,64,136,True,"[64, 96, 136]","[64, 96, 136]",7.0,7.0,1.0,True,200,7.0,
11,180,154,True,"[180, 166, 154]","[180, 154]",2.0,2.0,1.0,True,200,2.0,
12,37,79,True,"[37, 66, 79]","[37, 66, 79]",7.0,7.0,1.0,True,200,7.0,
13,25,186,True,"[25, 185, 186]","[25, 185, 186]",6.0,6.0,1.0,True,200,6.0,
14,18,175,True,"[18, 166, 154, 175]","[18, 166, 154, 175]",7.0,7.0,1.0,True,200,7.0,
15,84,120,True,"[84, 91, 106, 120]","[84, 60, 149, 120]",8.0,8.0,1.0,True,200,8.0,
16,143,25,True,"[143, 124, 178, 29, 25]","[143, 124, 178, 29, 25]",12.0,12.0,1.0,True,200,12.0,
17,90,111,True,"[90, 81, 144, 111]","[90, 81, 144, 111]",6.0,6.0,1.0,True,200,6.0,
18,80,156,True,"[80, 81, 145, 161, 156]","[80, 81, 145, 161, 156]",11.0,11.0,1.0,True,200,11.0,
19,163,52,True,"[163, 33, 52]","[163, 33, 52]",12.0,12.0,1.0,True,200,12.0,
20,141,122,True,"[141, 125, 122]","[141, 125, 122]",3.0,3.0,1.0,True,200,3.0,
21,113,133,True,"[113, 112, 133]","[113, 112, 133]",3.0,3.0,1.0,True,200,3.0,
22,66,15,True,"[66, 98, 13, 4, 15]","[66, 67, 24, 15]",8.0,8.0,1.0,True,200,8.0,
23,140,3,True,"[140, 107, 98, 13, 3]","[140, 122, 98, 13, 3]",12.0,12.0,1.0,True,200,12.0,
24,23,184,True,"[23, 18, 166, 154, 184]","[23, 18, 166, 154, 184]",8.0,8.0,1.0,True,200,8.0,
25,102,181,True,"[102, 103, 181]","[102, 103, 181]",6.0,6.0,1.0,True,200,6.0,
26,171,160,True,"[171, 167, 160]","[171, 167, 160]",3.0,3.0,1.0,True,200,3.0,
27,0,156,True,"[0, 19, 161, 156]","[0, 25, 185, 156]",8.0,8.0,1.0,True,200,8.0,
28,126,85,True,"[126, 56, 85]","[126, 56, 85]",7.0,7.0,1.0,True,200,7.0,
29,62,186,True,"[62, 52, 32, 186]","[62, 52, 32, 186]",11.0,11.0,1.0,True,200,11.0,
30,83,180,True,"[83, 19, 3, 180]","[83, 19, 3, 180]",11.0,11.0,1.0,True,200,11.0,
31,16,48,True,"[16, 48]","[16, 48]",2.0,2.0,1.0,True,200,2.0,
32,145,56,True,"[145, 68, 55, 56]","[145, 106, 126, 56]",8.0,8.0,1.0,True,200,8.0,
33,61,36,True,"[61, 82, 4, 36]","[61, 89, 74, 36]",9.0,9.0,1.0,True,200,9.0,
34,139,114,True,"[139, 136, 114]","[139, 136, 114]",2.0,2.0,1.0,True,200,2.0,
35,23,20,True,"[23, 20]","[23, 20]",2.0,2.0,1.0,True,200,2.0,
36,81,130,True,"[81, 138, 130]","[81, 138, 130]",6.0,6.0,1.0,True,200,6.0,
37,125,27,True,"[125, 122, 98, 13, 27]","[125, 122, 98, 13, 27]",12.0,12.0,1.0,True,200,12.0,
38,77,141,True,"[77, 54, 91, 117, 141]","[77, 54, 91, 117, 141]",8.0,8.0,1.0,True,200,8.0,
39,74,180,True,"[74, 65, 1, 3, 180]","[74, 93, 3, 180]",12.0,12.0,1.0,True,200,12.0,
40,31,140,True,"[31, 166, 142, 140]","[31, 166, 142, 140]",11.0,11.0,1.0,True,200,11.0,
41,85,138,True,"[85, 70, 81, 138]","[85, 90, 138]",7.0,7.0,1.0,True,200,7.0,
42,52,154,True,"[52, 32, 18, 166, 154]","[52, 32, 18, 166, 154]",11.0,11.0,1.0,True,200,11.0,
43,140,150,True,"[140, 144, 150]","[140, 144, 150]",8.0,8.0,1.0,True,200,8.0,
44,73,113,True,"[73, 136, 113]","[73, 136, 113]",8.0,8.0,1.0,True,200,8.0,
45,23,152,True,"[23, 3, 180, 152]","[23, 3, 180, 152]",7.0,7.0,1.0,True,200,7.0,
46,98,81,True,"[98, 53, 81]","[98, 53, 81]",3.0,3.0,1.0,True,200,3.0,
47,147,61,True,"[147, 137, 61]","[147, 137, 61]",6.0,6.0,1.0,True,200,6.0,
48,74,47,True,"[74, 58, 47]","[74, 58, 47]",8.0,8.0,1.0,True,200,8.0,
49,48,47,True,"[48, 47]","[48, 47]",3.0,3.0,1.0,True,200,3.0,
